"id","x_name","x_studio_tag_ids","x_studio_periodos","x_studio_descripcin","x_studio_marca","x_studio_ean","x_studio_cdigo_referencia_proveedor","x_studio_proveedor","x_studio_trazabilidad_levantamiento","x_studio_pm_asociado","x_studio_origen","x_studio_eye","x_studio_raee","x_studio_pilas","x_studio_neumticos","x_studio_bateras","x_studio_aceites_y_lubricantes","x_studio_es_mdh","x_studio_stage_id"
"__export__.x_productos_621418_202a6efe","831743016TXD","TxD - SKUs","2023","642POTBV22-508 PO/MIS1/T 10A","TRIBU","","","STITCH (BD) KNITWEAR","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621417_7872c4c4","831743015TXD","TxD - SKUs","2023","642POTBV22-508 PO/MIS1/T 8A","TRIBU","","","STITCH (BD) KNITWEAR","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621416_76969c7d","831743014TXD","TxD - SKUs","2023","642POTBV22-508 PO/MIS1/T 6A","TRIBU","","","STITCH (BD) KNITWEAR","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621415_9aff377a","831743006TXD","TxD - SKUs","2023","642POTBV22-508 PO/AZCL5/T 10A","TRIBU","","","STITCH (BD) KNITWEAR","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621414_34d6eaa7","831743005TXD","TxD - SKUs","2023","642POTBV22-508 PO/AZCL5/T 8A","TRIBU","","","STITCH (BD) KNITWEAR","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621413_5d74d6ec","831743004TXD","TxD - SKUs","2023","642POTBV22-508 PO/AZCL5/T 6A","TRIBU","","","STITCH (BD) KNITWEAR","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621412_b6444274","831740020TXD","TxD - SKUs","2023","640TBTBV22-704 TR/MIS1/T 6M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621411_3ca01fa2","831740015TXD","TxD - SKUs","2023","640TBTBV22-704 TR/ROBR2/T 9M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621410_5bd6f3b4","831740014TXD","TxD - SKUs","2023","640TBTBV22-704 TR/ROBR2/T 6M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621409_8238bf37","831740007TXD","TxD - SKUs","2023","640TBTBV22-704 TR/AZME9/T 36M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621408_ee07124d","831740006TXD","TxD - SKUs","2023","640TBTBV22-704 TR/AZME9/T 24M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621407_a4803969","831740003TXD","TxD - SKUs","2023","640TBTBV22-704 TR/AZME9/T 9M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621406_da44bb96","831740002TXD","TxD - SKUs","2023","640TBTBV22-704 TR/AZME9/T 6M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621405_c9f70aa5","831734005TXD","TxD - SKUs","2023","640SHTBV22-712 SH/AZME9/T 18M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621404_67177dc5","831734003TXD","TxD - SKUs","2023","640SHTBV22-712 SH/AZME9/T 9M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621403_06b930c1","831688005TXD","TxD - SKUs","2023","640SHTBV22-711 SH/AZOS9/T 18M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621402_c07282fe","831688003TXD","TxD - SKUs","2023","640SHTBV22-711 SH/AZOS9/T 9M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621401_53a9e786","831671008TXD","TxD - SKUs","2023","640TBTBV22-706 TR/MIS1/T 6M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621400_abe232a2","831670004TXD","TxD - SKUs","2023","640TBTBV22-707 TR/AZME9/T 12M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621399_eac55338","831668007TXD","TxD - SKUs","2023","640TBTBV22-701 TR/AZOS9/T 36M","TRIBU","","","SUNNER TEXTILE INDUSTRY CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621398_c4c43f3f","831630010TXD","TxD - SKUs","2023","POLER ALANIZ 604POA/BLNA2/L","ALANIZ","","","COMERCIAL T'KAS DE GHOSH SPA","","","NACIONAL","True","","","","","","","Completado"
"__export__.x_productos_621397_e298422f","831027006TXD","TxD - SKUs","2023","604JEAZV22-596 JE/AZME1/T 44","ALANIZ","","","BLUE IMAGE INC","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621396_8b2ab4e4","831026010TXD","TxD - SKUs","2023","604JEAZV22-553 JE/AZOS1/T 36","ALANIZ","","","UNIONMILL INTERNATIONAL CO LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621395_4551034b","830964002TXD","TxD - SKUs","2023","604BLABI20-504 BLUS/MIS17/S","MARITTIMO","","","TIANJIN GARMENTS IMPORTYEXPORT INC","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621394_2a3af976","830887999TXD","TxD - SKUs","2023","DINOSAURIO 112502 ELECTRON 1","PARIS","","","SHENHUA INTERNATIONAL LIMITED","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621393_87ef1bec","830720008TXD","TxD - SKUs","2023","604POAZV22-010 PO/GROS2/S","ALANIZ","","","TEAM SOURCING COMPANY LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621392_75d96bce","830681003TXD","TxD - SKUs","2023","604BLAZV22-505 BL/MIS1/S","ALANIZ","","","ANHUI KNITEX CO.LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621391_2316cbc5","830673013TXD","TxD - SKUs","2023","604POAZV22-012 PO/RJBR1/S","ALANIZ","","","TEAM SOURCING COMPANY LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621390_6acea579","830623018TXD","TxD - SKUs","2023","604POAZV22-022 PO/ROOS1/S","ALANIZ","","","TEAM SOURCING COMPANY LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621389_defb24e3","830620003TXD","TxD - SKUs","2023","604POAZTA-068 POL/AMBR1/S","ALANIZ","","","STITCH (BD) KNITWEAR","","","IMPORTADO","True","","","","","","","Completado"
"__export__.x_productos_621388_65e6ac9c","830582008TXD","TxD - SKUs","2023","641BATBI20-301 BA/AZCL9/T 7/8","TRIBU","","","ZHEJIANG ORIENT NEW HORIZON GARMEN","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621387_dd91c75d","830580007TXD","TxD - SKUs","2023","641BATBI20-300 BA/AZOS9/T 5/6","TRIBU","","","ZHEJIANG ORIENT NEW HORIZON GARMEN","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621386_c86459c2","830553037TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/BGCL1/T 50","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621385_5c40917b","830553036TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/BGCL1/T 48","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621384_37ffda14","830553035TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/BGCL1/T 46","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621383_96aa68cd","830553034TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/BGCL1/T 44","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621382_752c5803","830553033TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/BGCL1/T 42","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621381_e50dcb4f","830553032TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/BGCL1/T 40","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621380_9c8acf49","830553031TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/GROS1/T 50","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621379_cb3a5c33","830553030TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/GROS1/T 48","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
"__export__.x_productos_621378_94d4d16f","830553029TXD","TxD - SKUs","2023","662PAAZTA-002 PAN/GROS1/T 46","ALANIZ","","","FOYU CORPORATION (HK) LTD","","","IMPORTADO","True","","","","","","","No completado - Nuevo"
